Sample,Subpopulation,Superpopulation
HG00096,GBR,Europe
HG00097,GBR,Europe
HG00098,GBR,Europe
HG00099,GBR,Europe
HG00100,GBR,Europe
HG00101,GBR,Europe
HG00102,GBR,Europe
HG00103,GBR,Europe
HG00104,GBR,Europe
HG00105,GBR,Europe
HG00106,GBR,Europe
HG00107,GBR,Europe
HG00108,GBR,Europe
HG00109,GBR,Europe
HG00110,GBR,Europe
HG00111,GBR,Europe
HG00112,GBR,Europe
HG00113,GBR,Europe
HG00114,GBR,Europe
HG00115,GBR,Europe
HG00116,GBR,Europe
HG00117,GBR,Europe
HG00118,GBR,Europe
HG00119,GBR,Europe
HG00120,GBR,Europe
HG00121,GBR,Europe
HG00122,GBR,Europe
HG00123,GBR,Europe
HG00124,GBR,Europe
HG00125,GBR,Europe
HG00126,GBR,Europe
HG00127,GBR,Europe
HG00128,GBR,Europe
HG00129,GBR,Europe
HG00130,GBR,Europe
HG00131,GBR,Europe
HG00132,GBR,Europe
HG00133,GBR,Europe
HG00134,GBR,Europe
HG00135,GBR,Europe
HG00136,GBR,Europe
HG00137,GBR,Europe
HG00138,GBR,Europe
HG00139,GBR,Europe
HG00140,GBR,Europe
HG00141,GBR,Europe
HG00142,GBR,Europe
HG00143,GBR,Europe
HG00144,GBR,Europe
HG00145,GBR,Europe
HG00146,GBR,Europe
HG00147,GBR,Europe
HG00148,GBR,Europe
HG00149,GBR,Europe
HG00150,GBR,Europe
HG00151,GBR,Europe
HG00152,GBR,Europe
HG00153,GBR,Europe
HG00154,GBR,Europe
HG00155,GBR,Europe
HG00156,GBR,Europe
HG00157,GBR,Europe
HG00158,GBR,Europe
HG00159,GBR,Europe
HG00160,GBR,Europe
HG00171,FIN,Europe
HG00173,FIN,Europe
HG00174,FIN,Europe
HG00176,FIN,Europe
HG00177,FIN,Europe
HG00178,FIN,Europe
HG00179,FIN,Europe
HG00180,FIN,Europe
HG00181,FIN,Europe
HG00182,FIN,Europe
HG00183,FIN,Europe
HG00185,FIN,Europe
HG00186,FIN,Europe
HG00187,FIN,Europe
HG00188,FIN,Europe
HG00189,FIN,Europe
HG00190,FIN,Europe
HG00231,GBR,Europe
HG00232,GBR,Europe
HG00233,GBR,Europe
HG00234,GBR,Europe
HG00235,GBR,Europe
HG00236,GBR,Europe
HG00237,GBR,Europe
HG00238,GBR,Europe
HG00239,GBR,Europe
HG00240,GBR,Europe
HG00242,GBR,Europe
HG00243,GBR,Europe
HG00244,GBR,Europe
HG00245,GBR,Europe
HG00246,GBR,Europe
HG00247,GBR,Europe
HG00248,GBR,Europe
HG00249,GBR,Europe
HG00250,GBR,Europe
HG00251,GBR,Europe
HG00252,GBR,Europe
HG00253,GBR,Europe
HG00254,GBR,Europe
HG00255,GBR,Europe
HG00256,GBR,Europe
HG00257,GBR,Europe
HG00258,GBR,Europe
HG00259,GBR,Europe
HG00260,GBR,Europe
HG00261,GBR,Europe
HG00262,GBR,Europe
HG00263,GBR,Europe
HG00264,GBR,Europe
HG00265,GBR,Europe
HG00266,FIN,Europe
HG00267,FIN,Europe
HG00268,FIN,Europe
HG00269,FIN,Europe
HG00270,FIN,Europe
HG00271,FIN,Europe
HG00272,FIN,Europe
HG00273,FIN,Europe
HG00274,FIN,Europe
HG00275,FIN,Europe
HG00276,FIN,Europe
HG00277,FIN,Europe
HG00278,FIN,Europe
HG00280,FIN,Europe
HG00281,FIN,Europe
HG00282,FIN,Europe
HG00284,FIN,Europe
HG00285,FIN,Europe
HG00288,FIN,Europe
HG00290,FIN,Europe
HG00302,FIN,Europe
HG00303,FIN,Europe
HG00304,FIN,Europe
HG00306,FIN,Europe
HG00308,FIN,Europe
HG00309,FIN,Europe
HG00310,FIN,Europe
HG00311,FIN,Europe
HG00312,FIN,Europe
HG00313,FIN,Europe
HG00315,FIN,Europe
HG00318,FIN,Europe
HG00319,FIN,Europe
HG00320,FIN,Europe
HG00321,FIN,Europe
HG00323,FIN,Europe
HG00324,FIN,Europe
HG00325,FIN,Europe
HG00326,FIN,Europe
HG00327,FIN,Europe
HG00328,FIN,Europe
HG00329,FIN,Europe
HG00330,FIN,Europe
HG00331,FIN,Europe
HG00332,FIN,Europe
HG00334,FIN,Europe
HG00335,FIN,Europe
HG00336,FIN,Europe
HG00337,FIN,Europe
HG00338,FIN,Europe
HG00339,FIN,Europe
HG00341,FIN,Europe
HG00342,FIN,Europe
HG00343,FIN,Europe
HG00344,FIN,Europe
HG00345,FIN,Europe
HG00346,FIN,Europe
HG00349,FIN,Europe
HG00350,FIN,Europe
HG00351,FIN,Europe
HG00353,FIN,Europe
HG00355,FIN,Europe
HG00356,FIN,Europe
HG00357,FIN,Europe
HG00358,FIN,Europe
HG00359,FIN,Europe
HG00360,FIN,Europe
HG00361,FIN,Europe
HG00362,FIN,Europe
HG00364,FIN,Europe
HG00365,FIN,Europe
HG00366,FIN,Europe
HG00367,FIN,Europe
HG00368,FIN,Europe
HG00369,FIN,Europe
HG00371,FIN,Europe
HG00372,FIN,Europe
HG00373,FIN,Europe
HG00375,FIN,Europe
HG00376,FIN,Europe
HG00377,FIN,Europe
HG00378,FIN,Europe
HG00379,FIN,Europe
HG00380,FIN,Europe
HG00381,FIN,Europe
HG00382,FIN,Europe
HG00383,FIN,Europe
HG00384,FIN,Europe
HG00403,CHS,East Asia
HG00404,CHS,East Asia
HG00405,CHS,East Asia
HG00406,CHS,East Asia
HG00407,CHS,East Asia
HG00408,CHS,East Asia
HG00409,CHS,East Asia
HG00410,CHS,East Asia
HG00411,CHS,East Asia
HG00418,CHS,East Asia
HG00419,CHS,East Asia
HG00420,CHS,East Asia
HG00421,CHS,East Asia
HG00422,CHS,East Asia
HG00423,CHS,East Asia
HG00427,CHS,East Asia
HG00428,CHS,East Asia
HG00429,CHS,East Asia
HG00436,CHS,East Asia
HG00437,CHS,East Asia
HG00438,CHS,East Asia
HG00442,CHS,East Asia
HG00443,CHS,East Asia
HG00444,CHS,East Asia
HG00445,CHS,East Asia
HG00446,CHS,East Asia
HG00447,CHS,East Asia
HG00448,CHS,East Asia
HG00449,CHS,East Asia
HG00450,CHS,East Asia
HG00451,CHS,East Asia
HG00452,CHS,East Asia
HG00453,CHS,East Asia
HG00457,CHS,East Asia
HG00458,CHS,East Asia
HG00459,CHS,East Asia
HG00463,CHS,East Asia
HG00464,CHS,East Asia
HG00465,CHS,East Asia
HG00472,CHS,East Asia
HG00473,CHS,East Asia
HG00474,CHS,East Asia
HG00475,CHS,East Asia
HG00476,CHS,East Asia
HG00477,CHS,East Asia
HG00478,CHS,East Asia
HG00479,CHS,East Asia
HG00480,CHS,East Asia
HG00500,CHS,East Asia
HG00501,CHS,East Asia
HG00502,CHS,East Asia
HG00512,CHS,East Asia
HG00513,CHS,East Asia
HG00514,CHS,East Asia
HG00524,CHS,East Asia
HG00525,CHS,East Asia
HG00526,CHS,East Asia
HG00530,CHS,East Asia
HG00531,CHS,East Asia
HG00532,CHS,East Asia
HG00533,CHS,East Asia
HG00534,CHS,East Asia
HG00535,CHS,East Asia
HG00536,CHS,East Asia
HG00537,CHS,East Asia
HG00538,CHS,East Asia
HG00542,CHS,East Asia
HG00543,CHS,East Asia
HG00544,CHS,East Asia
HG00551,PUR,America
HG00552,PUR,America
HG00553,PUR,America
HG00554,PUR,America
HG00555,PUR,America
HG00556,CHS,East Asia
HG00557,CHS,East Asia
HG00558,CHS,East Asia
HG00559,CHS,East Asia
HG00560,CHS,East Asia
HG00561,CHS,East Asia
HG00565,CHS,East Asia
HG00566,CHS,East Asia
HG00567,CHS,East Asia
HG00577,CHS,East Asia
HG00578,CHS,East Asia
HG00579,CHS,East Asia
HG00580,CHS,East Asia
HG00581,CHS,East Asia
HG00582,CHS,East Asia
HG00583,CHS,East Asia
HG00584,CHS,East Asia
HG00585,CHS,East Asia
HG00589,CHS,East Asia
HG00590,CHS,East Asia
HG00591,CHS,East Asia
HG00592,CHS,East Asia
HG00593,CHS,East Asia
HG00594,CHS,East Asia
HG00595,CHS,East Asia
HG00596,CHS,East Asia
HG00597,CHS,East Asia
HG00598,CHS,East Asia
HG00599,CHS,East Asia
HG00600,CHS,East Asia
HG00607,CHS,East Asia
HG00608,CHS,East Asia
HG00609,CHS,East Asia
HG00610,CHS,East Asia
HG00611,CHS,East Asia
HG00612,CHS,East Asia
HG00613,CHS,East Asia
HG00614,CHS,East Asia
HG00615,CHS,East Asia
HG00619,CHS,East Asia
HG00620,CHS,East Asia
HG00621,CHS,East Asia
HG00622,CHS,East Asia
HG00623,CHS,East Asia
HG00624,CHS,East Asia
HG00625,CHS,East Asia
HG00626,CHS,East Asia
HG00627,CHS,East Asia
HG00628,CHS,East Asia
HG00629,CHS,East Asia
HG00630,CHS,East Asia
HG00631,CHS,East Asia
HG00632,CHS,East Asia
HG00633,CHS,East Asia
HG00634,CHS,East Asia
HG00635,CHS,East Asia
HG00636,CHS,East Asia
HG00637,PUR,America
HG00638,PUR,America
HG00639,PUR,America
HG00640,PUR,America
HG00641,PUR,America
HG00642,PUR,America
HG00650,CHS,East Asia
HG00651,CHS,East Asia
HG00652,CHS,East Asia
HG00653,CHS,East Asia
HG00654,CHS,East Asia
HG00655,CHS,East Asia
HG00656,CHS,East Asia
HG00657,CHS,East Asia
HG00658,CHS,East Asia
HG00662,CHS,East Asia
HG00663,CHS,East Asia
